ENSG00000197959,0.09005,0.09292,0.1076,0.07434,0.05834,0.07933,0.036006517
ENSG00000076321,6.937,6.79,7.044,5.93,6.361,6.051,0.010219315
ENSG00000234741,118.5,114.5,126.1,101.1,102.9,109.3,0.025915466
ENSG00000185278,0.2539,0.2745,0.3068,0.244,0.1806,0.1939,0.045622426
ENSG00000152061,2.542,2.474,2.623,2.238,2.398,2.193,0.028426239
ENSG00000075391,3.761,3.439,3.774,3.121,3.411,3.149,0.041099252
ENSG00000057252,2.883,2.774,3.204,2.583,2.1,2.345,0.03268427
ENSG00000230124,5.038,5.735,5.626,4.839,4.356,4.496,0.031904417
ENSG00000058085,851.1,770.4,902.7,979.2,1007,1047,0.029834806
ENSG00000116701,8.09,7.759,7.473,9.68,10.61,11.86,0.035032216
ENSG00000116667,2.706,2.661,2.959,1.895,2.301,2.218,0.017073424
ENSG00000135842,4.306,4.793,4.639,2.98,3.741,3.206,0.013337871
ENSG00000121481,3.616,3.624,3.775,2.87,3.223,2.814,0.019937947
ENSG00000047410,17.17,16.98,17.94,15.21,16.62,15.83,0.047842778
ENSG00000260088,0.7995,1.125,0.8803,1.3,1.395,1.573,0.019531388
ENSG00000081277,68.69,68.75,70.66,62.13,58.93,62.54,0.007121273
ENSG00000159176,32.75,30.46,30.5,39.53,36.06,39.98,0.011969951
ENSG00000231871,3.106,3.196,2.858,3.759,3.831,3.766,0.014892724
ENSG00000143847,2.71,2.931,2.725,3.773,3.34,3.237,0.040334393
ENSG00000133056,1.635,1.804,1.5,1.25,1.268,1.308,0.047280907
ENSG00000174514,0.1772,0.17,0.1597,0.09069,0.1084,0.1116,0.001732817
ENSG00000133065,6.137,6.083,5.974,5.59,5.381,5.338,0.004487099
ENSG00000174502,0.08105,0,0.0765,0.1369,0.1818,0.208,0.023368532
ENSG00000276600,12.88,13.39,13.5,8.944,8.671,9.488,0.000218746
ENSG00000263528,4.263,4.595,3.83,7.465,6.21,6.03,0.020021859
ENSG00000266094,3.247,3.315,3.314,2.601,2.574,2.889,0.022379604
ENSG00000123836,2.286,2.271,2.346,1.749,1.899,1.788,0.002415461
ENSG00000076356,5.362,5.259,5.048,4.774,4.614,4.852,0.017029316
ENSG00000123689,116.6,121.5,134.6,241.9,178,226.6,0.033955143
ENSG00000162757,9.227,10.72,9.94,12.6,12.29,11.26,0.024402897
ENSG00000054392,1.028,1.128,1.124,0.7947,0.8382,0.8711,0.004354527
ENSG00000117625,4.015,4.142,3.821,3.539,3.344,3.768,0.049221413
ENSG00000186205,0.5454,0.515,0.4572,0.4039,0.346,0.442,0.046564967
ENSG00000143507,7.377,7.531,6.744,4.86,4.572,4.752,0.004860137
ENSG00000143815,2.572,2.591,2.756,2.257,2.33,2.433,0.018726393
ENSG00000143641,49.33,48.65,46.21,44.94,44.11,43.14,0.032291318
ENSG00000116962,1.016,1.274,1.006,0.5081,0.5062,0.3214,0.005167375
ENSG00000116977,11.88,12.86,13.59,10.17,10.83,10.11,0.024516612
ENSG00000134317,8.435,8.322,8.933,9.769,10.4,9.815,0.006738043
ENSG00000172059,1.125,1.043,1.011,0.9241,0.9717,0.9128,0.047854449
ENSG00000071575,1.735,1.644,2.068,2.555,2.229,2.855,0.035036164
ENSG00000197872,2.536,2.77,3.449,1.937,1.563,2.189,0.043383184
ENSG00000163032,6.29,7.215,6.033,4.413,4.37,4.825,0.019768345
ENSG00000118965,1.883,2.213,2.088,1.577,1.623,1.835,0.03907224
ENSG00000227210,0.4548,0.42,0.2817,0.064,0.255,0.08754,0.036238679
ENSG00000055917,4.14,4.473,4.69,3.257,3.766,3.515,0.013429016
ENSG00000115129,16.45,17.34,17.18,17.81,18.37,18.45,0.026535121
ENSG00000119772,1.603,1.731,1.66,1.496,1.357,1.482,0.020009532
ENSG00000115163,1.829,2.075,2.007,1.132,1.025,0.8448,0.001035497
ENSG00000119777,22.24,20.8,21.87,23.04,22.79,23.87,0.045884265
ENSG00000115211,24.53,21.43,21.98,27.61,25.88,25.83,0.036828702
