ENSEMBL	ENTREZID
ENSG00000106484	4232
ENSG00000128567	5420
ENSG00000273297	105375519
ENSG00000172331	669
ENSG00000080802	4850
ENSG00000064393	28996
ENSG00000059378	64761
ENSG00000050327	7984
ENSG00000291118	79970
ENSG00000002726	26
ENSG00000164867	4846
ENSG00000181652	285973
ENSG00000285292	114483834
ENSG00000036448	9172
ENSG00000154319	83648
ENSG00000186523	85002
ENSG00000104723	7991
ENSG00000129422	57509
ENSG00000147408	55790
ENSG00000168481	203190
ENSG00000254064	100507071
ENSG00000120889	8795
ENSG00000104689	8797
ENSG00000253837	100507156
ENSG00000147454	51312
ENSG00000159167	6781
ENSG00000120885	1191
ENSG00000186918	55893
ENSG00000120875	1846
ENSG00000104687	2936
ENSG00000133874	79845
ENSG00000129691	9070
ENSG00000197140	203102
ENSG00000104332	6422
ENSG00000147536	84296
ENSG00000158669	137964
ENSG00000104368	5327
ENSG00000070501	5423
ENSG00000176209	114926
ENSG00000104738	4173
ENSG00000179041	23212
ENSG00000185697	4603
ENSG00000140396	10499
ENSG00000171033	5569
ENSG00000164684	619279
ENSG00000197275	25788
ENSG00000265817	100861412
ENSG00000156172	157657
ENSG00000156467	7381
ENSG00000247081	105369147
ENSG00000164830	55074
ENSG00000283956	100500914
ENSG00000147689	84985
ENSG00000165156	11244
ENSG00000170873	9788
ENSG00000131773	10656
ENSG00000167656	8581
ENSG00000080503	6595
ENSG00000106686	55064
ENSG00000153714	286343
ENSG00000177076	340485
ENSG00000086062	2683
ENSG00000165272	360
ENSG00000010438	5646
ENSG00000205143	138715
ENSG00000137070	3590
ENSG00000107338	6461
ENSG00000106714	79937
ENSG00000283378	79937
ENSG00000283378	100289279
ENSG00000135063	9413
ENSG00000135046	301
ENSG00000106733	54981
ENSG00000187210	2650
ENSG00000148019	84131
ENSG00000196781	7088
ENSG00000135052	51280
ENSG00000226237	100506834
ENSG00000196730	1612
ENSG00000148090	549
ENSG00000165030	4783
ENSG00000188312	401541
ENSG00000188938	158293
ENSG00000130948	3293
ENSG00000136943	1515
ENSG00000136936	7507
ENSG00000106785	9830
ENSG00000106789	7464
ENSG00000251349	100526694
ENSG00000186051	6887
ENSG00000148143	58499
ENSG00000119471	84263
ENSG00000228623	169834
ENSG00000165188	138065
ENSG00000148218	210
ENSG00000181634	9966
ENSG00000041982	3371
ENSG00000106780	1955
ENSG00000293514	NA
ENSG00000119397	11064
ENSG00000119446	92400
ENSG00000011454	23637
ENSG00000165209	55342
ENSG00000185585	169611
ENSG00000136935	2800
ENSG00000173611	286205
ENSG00000167081	5090
ENSG00000196814	89853
ENSG00000225032	102723566
ENSG00000232850	389791
ENSG00000197694	6709
ENSG00000148331	140459
ENSG00000136816	27348
ENSG00000130707	445
ENSG00000170835	1056
ENSG00000176884	2902
ENSG00000067064	3422
ENSG00000187134	1645
ENSG00000151632	1646
ENSG00000178462	79861
ENSG00000134461	54522
ENSG00000152465	9397
ENSG00000180592	387640
ENSG00000078403	8028
ENSG00000179133	256815
ENSG00000107968	1326
ENSG00000099250	8829
ENSG00000198105	57209
ENSG00000196693	7582
ENSG00000265763	118738
ENSG00000148541	220965
ENSG00000170312	983
ENSG00000138311	22891
ENSG00000122877	1959
ENSG00000108176	56521
ENSG00000096717	23411
ENSG00000138347	84665
ENSG00000107736	64072
ENSG00000122863	9469
ENSG00000166321	25961
ENSG00000166348	159195
ENSG00000122861	5328
ENSG00000222047	414236
ENSG00000156113	3778
ENSG00000151208	9231
ENSG00000108179	10105
ENSG00000133678	80195
ENSG00000151224	4143
ENSG00000148600	92211
ENSG00000184719	55328
ENSG00000119938	5507
ENSG00000107854	80351
ENSG00000138180	55165
